District,State ,Growth,Sex_Ratio,Literacy
Maharajganj,Uttar Pradesh,0.24,943.0,62.76
Fatehpur,Uttar Pradesh,0.14,901.0,67.43
Siddharth Nagar,Uttar Pradesh,0.25,976.0,59.25
Mathura,Uttar Pradesh,0.23,863.0,70.36
Firozabad,Uttar Pradesh,0.22,875.0,71.92
Mirzapur,Uttar Pradesh,0.18,903.0,68.48
Faizabad,Uttar Pradesh,0.18,962.0,68.73
Basti,Uttar Pradesh,0.18,963.0,67.22
Ambedkar Nagar,Uttar Pradesh,0.18,978.0,72.23
Rampur,Uttar Pradesh,0.21,909.0,53.34
Mau,Uttar Pradesh,0.19,979.0,73.09
Balrampur,Uttar Pradesh,0.28,928.0,49.51
Pilibhit,Uttar Pradesh,0.23,895.0,61.47
Jhansi,Uttar Pradesh,0.15,890.0,75.05
Chandauli,Uttar Pradesh,0.19,918.0,71.48
Farrukhabad,Uttar Pradesh,0.2,874.0,69.04
Mainpuri,Uttar Pradesh,0.17,881.0,75.99
Sonbhadra,Uttar Pradesh,0.27,918.0,64.03
Jyotiba Phule Nagar,Uttar Pradesh,0.23,910.0,63.84
Banda,Uttar Pradesh,0.17,863.0,66.67
Ramabai Nagar,Uttar Pradesh,0.15,865.0,75.78
Etah,Uttar Pradesh,0.14,873.0,70.81
Sant Kabir Nagar,Uttar Pradesh,0.21,972.0,66.72
Jalaun,Uttar Pradesh,0.16,865.0,73.75
Kannauj,Uttar Pradesh,0.19,879.0,72.7
Gautam Buddha Nagar,Uttar Pradesh,0.37,851.0,80.12
Kaushambi,Uttar Pradesh,0.24,908.0,61.28
Etawah,Uttar Pradesh,0.18,870.0,78.41
Sant Ravidas Nagar,Uttar Pradesh,0.17,955.0,68.97
Mahamaya Nagar,Uttar Pradesh,0.17,871.0,71.59
Kanshiram Nagar,Uttar Pradesh,0.17,880.0,61.02
Auraiya,Uttar Pradesh,0.17,864.0,78.95
Baghpat,Uttar Pradesh,0.12,861.0,72.01
Lalitpur,Uttar Pradesh,0.25,906.0,63.52
Shrawasti,Uttar Pradesh,-0.05,881.0,46.74
Hamirpur,Uttar Pradesh,0.06,861.0,68.77
Chitrakoot,Uttar Pradesh,0.29,879.0,65.05
Mahoba,Uttar Pradesh,0.24,878.0,65.27
Haridwar,Uttarakhand,0.31,880.0,73.43
Dehradun,Uttarakhand,0.32,902.0,84.25
Udham Singh Nagar,Uttarakhand,0.33,920.0,73.1
Nainital,Uttarakhand,0.25,934.0,83.88
Pauri Garhwal,Uttarakhand,-0.01,1103.0,82.02
Almora,Uttarakhand,-0.01,1139.0,80.47
Tehri Garhwal,Uttarakhand,0.02,1077.0,76.36
Pithoragarh,Uttarakhand,0.05,1020.0,82.25
Chamoli,Uttarakhand,0.06,1019.0,82.65
Uttarkashi,Uttarakhand,0.12,958.0,75.81
Bageshwar,Uttarakhand,0.04,1090.0,80.01
Champawat,Uttarakhand,0.16,980.0,79.83
Rudraprayag,Uttarakhand,0.07,1114.0,81.3
North Twenty Four Parganas,West Bengal,0.12,955.0,84.06
South Twenty Four Parganas,West Bengal,0.18,956.0,77.51
Barddhaman,West Bengal,0.12,945.0,76.21
Murshidabad,West Bengal,0.21,958.0,66.59
Paschim Medinipur,West Bengal,0.14,966.0,78.0
Hugli,West Bengal,0.09,961.0,81.8
Nadia,West Bengal,0.12,947.0,74.97
Purba Medinipur,West Bengal,0.15,938.0,87.02
Haora,West Bengal,0.14,939.0,83.31
Kolkata,West Bengal,-0.02,908.0,86.31
Maldah,West Bengal,0.21,944.0,61.73
Jalpaiguri,West Bengal,0.14,953.0,73.25
Bankura,West Bengal,0.13,957.0,70.26
Birbhum,West Bengal,0.16,956.0,70.68
Uttar Dinajpur,West Bengal,0.23,939.0,59.07
Puruliya,West Bengal,0.16,957.0,64.48
Koch Bihar,West Bengal,0.14,942.0,74.78
Darjiling,West Bengal,0.15,970.0,79.56
Dakshin Dinajpur,West Bengal,0.12,956.0,72.82
